Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
700074    0202500000000,PROGRESS RESIDENTIAL BORROWER 24 LL F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y BRIARCREEK L,Keyword: PROGRESS RESIDENTIAL
700978    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ALEPPO PINE T,Keyword: AMERICAN HOMES 4 RENT
702098    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,STE 200-AM 280 PILOT RD LAS VEGAS NV 891193532 F,Y SKY HARBOR D,Keyword: AMERICAN HOMES 4 RENT
702245    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y WICKHAM L,Keyword: AMERICAN HOMES 4 RENT
710446    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y JAMIE D,Keyword: PROGRESS RESIDENTIAL
710467    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,STE 200-AM 280 PILOT RD LAS VEGAS NV 891193532 F,Y JOY LEE L,Keyword: AMERICAN HOMES 4 RENT
711141    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ST MARY D,Keyword: AMERICAN HOMES 4 RENT
711178    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ST MARY D,Keyword: AMERICAN HOMES 4 RENT
713601    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y WAYNESPUR L,Keyword: AMERICAN HOMES 4 RENT
718905    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y RED TAILS D,Keyword: AMERICAN HOMES 4 RENT
718927    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y NORDYKE L,Keyword: AMERICAN HOMES 4 RENT
719893    0202500000000,AH4R I TX LLC F000000000000,30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 F,Y PLAINS VALLEY D,Keyword: AH4R
719964    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y CAMPINA X,Keyword: AMERICAN HOMES 4 RENT
720374    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y PALOMA BLANCA W,Keyword: AMERICAN HOMES 4 RENT
720392    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y PALOMA BLANCA W,Keyword: AMERICAN HOMES 4 RENT
731572    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y DERBY DOWNS D,Keyword: AMERICAN HOMES 4 RENT
734537    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y AUTUMN BAY D,Keyword: AMERICAN HOMES 4 RENT
738028P    0202500000000,SEPHORA USA INC F000000000000,ATTN: ACCOUNTING 350 MISSION ST #7 SAN FRANCISCO CA 94105 F,Y S CAPITAL OF TX HY,Mailing: 94105
752501    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y INDIGO SKY D,Keyword: PROGRESS RESIDENTIAL
752592    0202500000000,AMERICAN HOMES 4 RENT F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y BERRYLINE W,Keyword: AMERICAN HOMES 4 RENT
754338    0202500000000,AH4R I TX LLC F000000000000,30601 AGOURA HILLS STE 200 AGOURA HILLS CA 913012148 F,Y MERLIN FALCON T,Keyword: AH4R
758515    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES TWO LLC F000000000000,280 PILOT RD STE 200-AM LAS VEGAS NV 891193532 F,Y PLAINS CREST D,Keyword: AMERICAN HOMES 4 RENT
775013    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORENTO STE 300 CALABASAS CA 913024012 F,Y ELARA D,Keyword: AMERICAN HOMES 4 RENT
775020    0202500000000,AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y ELARA D,Keyword: AMERICAN HOMES 4 RENT
818209    0202500000000,SVF NORTHSHORE AUSTIN LP F000000000000,% AMERICAN REALTY ADVISORS 515 SOUTH FLOWER ST FLR 49 LOS ANGELES CA 900712201 F,Y SAN ANTONIO S,Keyword: % REALTY ADVISORS
821346    0202500000000,PROGRESS RESIDENTIAL BORROWER 19 LLC F000000000000,PO BOX 4090 SCOTTSDALE AZ 852614090 F,Y CREEDE D,Keyword: PROGRESS RESIDENTIAL
832750P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
